class_0,mmr_0,class_1,mmr_1,class_2,mmr_2,class_3,mmr_3,class_4,mmr_4,class_5,mmr_5,class_6,mmr_6,class_7,mmr_7,class_8,mmr_8,class_9,mmr_9,win,kerri_win_pct
Artanis,1540,Stukov,1960,Scientist,1540,Spirit,1900,Prophet,1540,Swann,1620,Niadra,1160.0,Spirit,1280.0,Dehaka,860.0,Ascendant,1580.0,Survivor,0.052818302
Stukov,1920,Spirit,1280,Spirit,2260,Dehaka,1120,Scientist,1480,Spirit,1740,Zagara,1160.0,Scientist,1360.0,Prophet,1360.0,Ascendant,860.0,Survivor,0.09739553
Zagara,1120,Selendis,1480,Dark Templar,1500,Selendis,1460,Scientist,1500,Scientist,1360,Dehaka,1140.0,Spirit,1160.0,Scientist,1200.0,Stukov,1200.0,Survivor,0.29916832
Scientist,1040,Spirit,1980,Zagara,1500,Scientist,1640,Ascendant,1740,Selendis,2180,Selendis,1380.0,Kerrigan,1780.0,Prophet,1200.0,Stukov,1660.0,Kerrigan,0.41274843
Scion,1680,Ares,1220,Zagara,1240,Spirit,1640,Selendis,1540,Ascendant,1740,Team Nova,1700.0,Dehaka,2040.0,Ascendant,1500.0,Ascendant,1200.0,Survivor,0.57865524
Prophet,1840,Mira,1440,Niadra,1220,Selendis,1380,Ascendant,1200,Dark Templar,1240,Ascendant,1300.0,Spirit,1580.0,Scientist,1080.0,Kerrigan,1500.0,Survivor,0.43790933
Mira,1660,Dark Templar,1440,Zagara,1360,Artanis,1760,Scientist,1320,Ascendant,1440,Scientist,1380.0,Thakras,1200.0,Prophet,1500.0,,,Survivor,0.2967442
Niadra,1480,Ares,1640,Scientist,2000,Prophet,1360,Spirit,1200,Thakras,1380,Stukov,1540.0,Scientist,1900.0,Nomad,1960.0,Helios,1460.0,Survivor,0.23781972
Selendis,1380,Ascendant,1200,Selendis,1440,Zagara,1120,Scientist,1620,Scientist,940,Nomad,2160.0,Kerrigan,1300.0,Ascendant,1200.0,Scientist,1180.0,Survivor,0.24693249
Prophet,1460,Spirit,1700,Zagara,1100,Mira,1340,Ascendant,1580,Ares,1180,Kerrigan,1900.0,Ascendant,1200.0,Helios,1880.0,Selendis,1440.0,Survivor,0.5014992
Spirit,2340,Prophet,2200,Ares,1200,Kerrigan,1200,Stukov,1200,Niadra,1280,Mira,1700.0,Stukov,1200.0,Scientist,1160.0,Swann,1840.0,Survivor,0.10451873
Spirit,1540,Kerrigan,1160,Team Nova,1180,Stukov,1240,Zagara,1360,Selendis,1840,Ascendant,1260.0,Ascendant,1180.0,Scientist,1340.0,Ares,1200.0,Kerrigan,0.3919385
Spirit,1620,Helios,1820,Thakras,1580,Scion,2440,Scientist,1720,Spirit,1220,Prophet,1620.0,Stukov,1380.0,Selendis,1600.0,Zagara,1440.0,Survivor,0.19499579
Prophet,1440,Spirit,1640,Kerrigan,2020,Ascendant,1280,Ascendant,1180,Mira,1380,Scientist,1740.0,Stukov,1140.0,Zagara,1280.0,Artanis,1420.0,Kerrigan,0.7374765
Ascendant,1760,Nomad,1700,Prophet,1700,Ascendant,1320,Ascendant,1240,Stukov,1180,Zagara,1580.0,Spirit,2120.0,Scientist,1180.0,Kerrigan,1240.0,Survivor,0.29985186
Helios,1540,Stukov,1240,Dark Templar,2060,Ares,1200,Scientist,1860,Thakras,1220,Ares,1200.0,Stukov,2320.0,Zagara,1580.0,Prophet,1320.0,Survivor,0.21560776
Zagara,1120,Scion,1940,Artanis,1520,Ascendant,1300,Kerrigan,2580,Team Nova,1500,Stukov,1460.0,Ascendant,1380.0,Nomad,1940.0,Selendis,1480.0,Kerrigan,0.7419173
Niadra,1500,Spirit,1780,Stukov,1440,Dark Templar,1440,Thakras,2460,Scientist,1860,Spirit,1300.0,Prophet,1540.0,Mira,1540.0,Ascendant,1200.0,Kerrigan,0.8604349
Dehaka,1840,Engineer,1560,Dark Templar,1540,Niadra,1420,Stukov,1180,Scientist,1540,Team Nova,1320.0,Prophet,1460.0,Ascendant,1500.0,Ascendant,1200.0,Kerrigan,0.71871305
Swann,2120,Niadra,2440,Spirit,1120,Dehaka,1260,Helios,1420,Prophet,1540,Spirit,1820.0,Ares,1380.0,Team Nova,1480.0,Selendis,1580.0,Kerrigan,0.7205273
Spirit,1760,Ascendant,1400,Scientist,1180,Ascendant,1600,Engineer,1400,Ascendant,1180,Niadra,1120.0,Ascendant,1460.0,Scientist,1180.0,Dehaka,1600.0,Survivor,0.47617406
Scientist,1380,Ascendant,2280,Ascendant,1400,Prophet,1780,Stukov,2000,Ascendant,1500,Niadra,1480.0,Thakras,1300.0,Spirit,1800.0,Scientist,1240.0,Survivor,0.14982012
Ascendant,1200,Dark Templar,1520,Ares,1620,Prophet,1540,Kerrigan,1260,Ascendant,1200,Team Nova,2260.0,,,,,,,Kerrigan,0.2147929
Scientist,1600,Thakras,1420,Stukov,1200,Zagara,1200,Ascendant,1080,Selendis,1300,Scientist,1560.0,Swann,2160.0,Selendis,1720.0,Spirit,820.0,Survivor,0.27698374
Selendis,1360,Dehaka,1860,Nomad,2020,Dark Templar,1160,Ares,1200,Ascendant,1200,Niadra,1020.0,Prophet,1520.0,Scientist,1200.0,Ascendant,1220.0,Kerrigan,0.55736595
Spirit,1360,Spirit,1180,Zagara,1180,Artanis,1180,Selendis,1420,Nomad,1500,Nomad,1400.0,Prophet,1400.0,Team Nova,900.0,Dehaka,1080.0,Survivor,0.34233272
Selendis,2020,Ascendant,1300,Ascendant,1180,Selendis,1400,Thakras,2180,Zagara,2580,Mira,1900.0,Scientist,1500.0,Stukov,1460.0,,,Kerrigan,0.97331345
Spirit,1260,Prophet,2200,Selendis,1500,Scientist,1720,Stukov,1460,Mira,1500,Dehaka,2040.0,Spirit,1180.0,Zagara,1560.0,Spirit,1680.0,Survivor,0.6545443
Kerrigan,2060,Artanis,1100,Stukov,1660,Mira,1680,Zagara,1240,Selendis,1140,Stukov,1180.0,Prophet,1340.0,Selendis,1320.0,,,Kerrigan,0.8187996
Swann,1360,Scientist,2340,Spirit,1540,Dark Templar,1540,Ascendant,1700,Zagara,1020,Stukov,600.0,Thakras,1300.0,Selendis,1400.0,,,Survivor,0.122859254
Selendis,1260,Stukov,1220,Ascendant,1440,Ares,1120,Kerrigan,1020,Ascendant,1460,Spirit,1220.0,Selendis,1520.0,Nomad,1540.0,Zagara,1200.0,Survivor,0.29125795
Niadra,1320,Kerrigan,1080,Engineer,1480,Scientist,1180,Swann,1180,Helios,1380,Team Nova,1280.0,Artanis,1320.0,Prophet,2320.0,Selendis,1540.0,Kerrigan,0.17209864
Dehaka,1180,Helios,1400,Zagara,1460,Spirit,1980,Engineer,1700,Selendis,1260,Dark Templar,1160.0,Ares,1400.0,Scientist,1300.0,Selendis,1460.0,Survivor,0.30735177
Scientist,1240,Zagara,1440,Kerrigan,1060,Engineer,1240,Stukov,1180,Selendis,1300,Spirit,1740.0,Stukov,960.0,Ascendant,1160.0,Swann,1520.0,Kerrigan,0.45535162
Prophet,1340,Engineer,1360,Spirit,2520,Kerrigan,1240,Nomad,1420,Team Nova,1760,Zagara,1320.0,Ascendant,1220.0,Ascendant,1320.0,,,Survivor,0.16217043
Artanis,2060,Zagara,1260,Team Nova,1820,Helios,1520,Ascendant,1300,Helios,1280,Kerrigan,1780.0,Ascendant,1300.0,Scientist,2240.0,Swann,1560.0,Survivor,0.30403244
Prophet,1340,Helios,880,Dehaka,1180,Spirit,1160,Dark Templar,1420,Team Nova,1520,Ascendant,1200.0,Stukov,1160.0,Ascendant,1200.0,Niadra,1220.0,Kerrigan,0.4713023
Dehaka,1200,Dark Templar,1300,Ascendant,1180,Spirit,2120,Team Nova,1940,Prophet,1800,Stukov,1160.0,Zagara,1080.0,Scientist,1540.0,Artanis,1220.0,Survivor,0.11008629
Dehaka,1080,Prophet,1760,Zagara,1020,Selendis,1220,Stukov,1500,Engineer,1960,Swann,1640.0,Scientist,1600.0,Scientist,1460.0,Stukov,940.0,Survivor,0.08225467
Selendis,1440,Dark Templar,1660,Mira,1480,Spirit,1160,Niadra,1160,Spirit,1220,Team Nova,1480.0,Dehaka,1420.0,Scientist,1620.0,Nomad,2200.0,Survivor,0.18145588
Niadra,1200,Ascendant,1420,Scientist,1200,Scientist,1240,Ares,920,Selendis,980,Stukov,1300.0,Kerrigan,1760.0,Selendis,1000.0,Team Nova,1400.0,Kerrigan,0.8219241
Selendis,1560,Spirit,1780,Kerrigan,1220,Stukov,2080,Dark Templar,1720,Artanis,1980,Spirit,1940.0,Scion,1540.0,Ascendant,1760.0,,,Survivor,0.053041283
Nomad,1460,Niadra,1080,Ascendant,1260,Kerrigan,1560,Ascendant,1200,Spirit,1340,Ascendant,1180.0,Stukov,1200.0,Helios,1440.0,Swann,1320.0,Kerrigan,0.58808094
Swann,2080,Prophet,1500,Ascendant,1200,Dehaka,1180,Ascendant,1740,Ascendant,1260,Ascendant,1180.0,Scientist,1620.0,Ascendant,1520.0,Niadra,980.0,Survivor,0.10428039
Scientist,1300,Swann,980,Prophet,1200,Dehaka,1520,Zagara,1340,Dark Templar,1220,Ascendant,1240.0,Ascendant,1200.0,Ascendant,1580.0,Stukov,1160.0,Kerrigan,0.7079227
Helios,1440,Nomad,1480,Selendis,1480,Ares,1700,Dark Templar,1520,Zagara,1240,Scientist,1360.0,Prophet,1420.0,Dehaka,1260.0,Swann,880.0,Kerrigan,0.29351404
Stukov,1480,Engineer,1120,Dark Templar,1380,Zagara,1440,Ascendant,1640,Scientist,1220,Mira,1600.0,Dehaka,1140.0,,,,,Survivor,0.4812198
Mira,1920,Team Nova,1300,Artanis,1700,Prophet,1260,Stukov,1480,Dehaka,1440,Selendis,1700.0,Stukov,1200.0,Zagara,2080.0,Swann,1260.0,Kerrigan,0.75487816
Spirit,2120,Nomad,1480,Zagara,1840,Spirit,1740,Swann,1180,Scientist,2320,Dehaka,1800.0,Prophet,1440.0,Ares,1180.0,Ascendant,1220.0,Kerrigan,0.62868637
Ascendant,1260,Swann,1980,Team Nova,1540,Mira,1580,Prophet,1560,Ares,1760,Ascendant,1360.0,Kerrigan,2580.0,Zagara,1200.0,Stukov,1180.0,Kerrigan,0.79884416
Ascendant,1900,Nomad,1580,Dehaka,1480,Mira,1400,Helios,1380,Scientist,1540,Zagara,2000.0,Spirit,2480.0,Prophet,1160.0,Spirit,1440.0,Kerrigan,0.49264064
Scion,1700,Scientist,1940,Scientist,1200,Zagara,1160,Kerrigan,1380,Ascendant,1320,Ascendant,1640.0,Team Nova,1960.0,Dark Templar,1960.0,Helios,2080.0,Survivor,0.070501596
Swann,1100,Thakras,1140,Scientist,1480,Stukov,1220,Stukov,1260,Stukov,1140,Prophet,1380.0,Nomad,1520.0,Dark Templar,1240.0,Zagara,1100.0,Survivor,0.33765838
Spirit,1500,Artanis,1180,Mira,1300,Zagara,1440,Kerrigan,1020,Spirit,1140,Ascendant,1000.0,Ascendant,1200.0,Ascendant,1560.0,Stukov,1820.0,Survivor,0.3847338
Niadra,1840,Stukov,1860,Kerrigan,1020,Ascendant,1400,Prophet,1600,Nomad,1800,Scientist,1180.0,Team Nova,1460.0,Nomad,1380.0,Ascendant,1200.0,Survivor,0.3970373
Spirit,2040,Kerrigan,1100,Scientist,1440,Nomad,1960,Team Nova,1680,Prophet,1160,Nomad,1640.0,Zagara,1560.0,Selendis,840.0,Artanis,1480.0,Survivor,0.19315097
Selendis,1680,Mira,1500,Mira,1440,Dark Templar,1720,Swann,1400,Artanis,1140,Scientist,2060.0,Zagara,1280.0,Scientist,1580.0,Dehaka,1380.0,Survivor,0.20934464
Stukov,1480,Nomad,1660,Zagara,1180,Ascendant,1240,Ascendant,1380,Nomad,1580,Thakras,1440.0,Selendis,940.0,Artanis,1200.0,Prophet,1500.0,Survivor,0.42048708
Scientist,1160,Nomad,1300,Zagara,1980,Nomad,1480,Prophet,1840,Ascendant,1860,Stukov,1780.0,Dark Templar,1460.0,,,,,Kerrigan,0.8688431
Prophet,2020,Helios,1660,Spirit,1500,Selendis,1240,Dehaka,1880,Selendis,1500,Ascendant,1520.0,Spirit,1600.0,Zagara,1100.0,Scientist,2280.0,Survivor,0.23274891
Stukov,1740,Thakras,1820,Scientist,2300,Zagara,1960,Prophet,1420,Swann,1640,Dark Templar,1740.0,Selendis,1320.0,Spirit,1540.0,Scientist,1160.0,Kerrigan,0.66679287
Selendis,2180,Dark Templar,1420,Helios,1920,Stukov,1220,Artanis,1420,Selendis,1280,Dehaka,1080.0,Spirit,2080.0,Zagara,1200.0,Mira,1280.0,Survivor,0.094718665
Mira,2160,Scientist,1080,Artanis,1420,Selendis,1540,Helios,1400,Dehaka,1900,Niadra,1180.0,Ascendant,1220.0,Selendis,1320.0,Nomad,1480.0,Survivor,0.53029764
Scion,2140,Zagara,1340,Artanis,1540,Ascendant,1240,Scientist,1640,Ascendant,2240,Prophet,1740.0,Spirit,2140.0,Dehaka,1160.0,,,Survivor,0.06870213
Team Nova,1400,Dark Templar,1400,Selendis,1380,Ascendant,1100,Nomad,1680,Dehaka,1620,Stukov,1180.0,Prophet,1520.0,Mira,1740.0,Zagara,1160.0,Kerrigan,0.41646045
Spirit,1880,Ascendant,1820,Helios,2140,Dark Templar,1460,Scientist,1760,Ascendant,1140,Prophet,1380.0,Zagara,1120.0,Selendis,1420.0,Kerrigan,1200.0,Survivor,0.07740703
Artanis,2040,Artanis,1940,Scientist,1320,Zagara,2100,Helios,1400,Stukov,1260,Kerrigan,1520.0,Ascendant,1260.0,Spirit,1420.0,Prophet,1140.0,Kerrigan,0.7629301
Spirit,1200,Zagara,1600,Ascendant,1260,Selendis,1420,Selendis,1240,Ascendant,1440,Prophet,1180.0,Artanis,1540.0,Kerrigan,1580.0,,,Kerrigan,0.80766827
Dark Templar,1440,Ascendant,1360,Niadra,1000,Engineer,1440,Ascendant,1640,Stukov,1680,Stukov,1400.0,Prophet,2180.0,Swann,1640.0,,,Survivor,0.047729902
Scientist,1500,Spirit,1260,Ascendant,1140,Helios,1840,Spirit,1160,Ascendant,1200,Artanis,1560.0,Zagara,1440.0,Stukov,1140.0,Dehaka,1180.0,Survivor,0.46431345
Zagara,1220,Ares,1320,Artanis,1460,Kerrigan,2500,Swann,1940,Ascendant,1260,Selendis,1640.0,Ascendant,1320.0,Ascendant,1320.0,Prophet,1660.0,Kerrigan,0.8330152
Ascendant,1520,Selendis,1280,Stukov,1240,Nomad,1420,Helios,1680,Stukov,1180,Thakras,1200.0,Zagara,1340.0,Stukov,1200.0,Artanis,1520.0,Kerrigan,0.39963424
Scientist,2360,Zagara,1460,Dark Templar,1780,Ascendant,1540,Dehaka,2480,Nomad,1680,Engineer,1260.0,Prophet,1440.0,Ascendant,1800.0,Nomad,1600.0,Survivor,0.6840527
Ascendant,1760,Kerrigan,1940,Scientist,1700,Dark Templar,1420,Mira,1500,Ares,1680,Zagara,1220.0,Stukov,2080.0,Prophet,1800.0,Spirit,1280.0,Kerrigan,0.34926373
Scientist,1540,Ascendant,1520,Nomad,1300,Dehaka,1460,Prophet,1420,Dark Templar,1220,Helios,1440.0,Zagara,1560.0,Spirit,1440.0,Ascendant,1220.0,Kerrigan,0.6373204
Helios,1520,Swann,1600,Ascendant,1180,Scientist,2260,Dark Templar,1620,Nomad,1360,Artanis,1480.0,Kerrigan,1380.0,Helios,1820.0,Zagara,1360.0,Survivor,0.17486219
Spirit,2000,Team Nova,1640,Nomad,1660,Dehaka,940,Selendis,1400,Ascendant,1620,Scientist,1360.0,Selendis,1360.0,Prophet,1880.0,Zagara,1780.0,Survivor,0.21011566
Team Nova,880,Helios,1560,Thakras,1080,Scientist,1240,Niadra,1620,Nomad,920,Ascendant,1440.0,Stukov,1760.0,Swann,1540.0,Stukov,1240.0,Survivor,0.48293868
Nomad,1300,Swann,1480,Niadra,1280,Kerrigan,1120,Scientist,1980,Helios,1400,Engineer,1820.0,Prophet,1220.0,Ascendant,1160.0,Helios,1560.0,Survivor,0.17823052
Dark Templar,1480,Selendis,1700,Spirit,1680,Prophet,1960,Ascendant,1200,Kerrigan,2220,Niadra,1020.0,Ascendant,1100.0,Ascendant,1840.0,Team Nova,1780.0,Survivor,0.44399175
Team Nova,1520,Spirit,1220,Thakras,1160,Scientist,2000,Ascendant,1180,Engineer,920,Scientist,1720.0,Niadra,1080.0,Dark Templar,1360.0,,,Survivor,0.19253266
Helios,1380,Scientist,1200,Stukov,2160,Selendis,1380,Stukov,1200,Spirit,1320,Ascendant,1180.0,Zagara,1080.0,Dehaka,1160.0,Ascendant,1200.0,Survivor,0.21064258
Scientist,1400,Zagara,1160,Scientist,2360,Kerrigan,1420,Prophet,2000,Swann,1200,Ares,1120.0,Spirit,1840.0,Mira,1160.0,Selendis,1460.0,Kerrigan,0.16427082
Scientist,1800,Team Nova,2420,Prophet,1920,Spirit,2440,Ares,1420,Thakras,1760,Selendis,1320.0,Ascendant,1200.0,Dark Templar,1240.0,Zagara,1440.0,Survivor,0.21404341
Selendis,2360,Nomad,1620,Artanis,1240,Ascendant,2140,Ascendant,1180,Team Nova,1440,Niadra,2500.0,Mira,1340.0,Stukov,1940.0,Kerrigan,2220.0,Kerrigan,0.9249362
Ascendant,880,Dehaka,1120,Dark Templar,1180,Ascendant,1520,Helios,1300,Stukov,1200,Stukov,1400.0,Stukov,1140.0,Scientist,1240.0,,,Kerrigan,0.39601842
Selendis,1640,Mira,1140,Ascendant,1120,Ascendant,1200,Kerrigan,1180,Dark Templar,700,Selendis,1420.0,Mira,1240.0,Zagara,1300.0,Artanis,1460.0,Kerrigan,0.4978364
Artanis,1180,Ascendant,1340,Ascendant,1200,Helios,1400,Prophet,2220,Dark Templar,1240,Zagara,1120.0,Ascendant,1440.0,Dehaka,1380.0,Stukov,2120.0,Survivor,0.15763041
Mira,1400,Ascendant,1360,Engineer,1640,Scientist,1200,Selendis,1280,Zagara,1460,Mira,1160.0,Ascendant,1200.0,Stukov,1400.0,Thakras,1400.0,Survivor,0.6332098
Dehaka,1400,Artanis,1240,Dark Templar,2100,Ascendant,1200,Zagara,1380,Spirit,1320,Ascendant,1180.0,Swann,1580.0,Ares,1200.0,Mira,1540.0,Survivor,0.416591
Ascendant,1280,Artanis,2140,Zagara,1200,Prophet,1320,Artanis,1540,Ascendant,1220,Dehaka,1100.0,Helios,1380.0,Scientist,1420.0,,,Survivor,0.18280123
Prophet,2180,Ares,1740,Swann,1400,Mira,1460,Spirit,2540,Mira,1680,Mira,1500.0,Artanis,1160.0,Zagara,1260.0,,,Survivor,0.062010825
Spirit,1820,Prophet,1180,Selendis,1500,Scientist,1400,Zagara,1320,Scientist,1260,Ascendant,1180.0,Ascendant,1200.0,Dehaka,1220.0,Stukov,1400.0,Survivor,0.3765494
Scientist,1560,Selendis,1280,Prophet,1460,Kerrigan,1140,Swann,1260,Selendis,1640,Zagara,1940.0,Ares,1440.0,Ascendant,1460.0,Scientist,1400.0,Survivor,0.62242794
Scientist,2300,Team Nova,1360,Stukov,1220,Zagara,1220,Prophet,2580,Thakras,1220,Ascendant,1560.0,Selendis,1300.0,,,,,Survivor,0.09296384
Helios,1220,Dehaka,2300,Engineer,1740,Zagara,1480,Ascendant,1620,Helios,1440,Scientist,1620.0,Ascendant,1080.0,Stukov,1900.0,,,Kerrigan,0.84728485
Scientist,2260,Selendis,1540,Dehaka,1160,Stukov,1660,Niadra,1280,Prophet,1520,Selendis,1540.0,Ascendant,1160.0,Artanis,1880.0,,,Survivor,0.10287627
Selendis,1740,Thakras,1100,Prophet,1400,Dark Templar,1740,Spirit,2160,Zagara,1500,Ascendant,1200.0,Scientist,1200.0,Nomad,1540.0,Ascendant,1180.0,Survivor,0.22480631
Prophet,2180,Spirit,1960,Helios,1400,Nomad,1740,Stukov,1480,Nomad,1740,Dehaka,920.0,Zagara,1300.0,Ascendant,1840.0,Dark Templar,1420.0,Survivor,0.046212055
Artanis,1760,Prophet,1480,Nomad,1400,Dehaka,2300,Ares,1500,Ascendant,1160,Scientist,2480.0,Zagara,1100.0,Scientist,1240.0,Ascendant,1180.0,Kerrigan,0.57084817
Ascendant,1180,Selendis,1380,Artanis,2000,Prophet,1640,Helios,1500,Dehaka,1960,Scientist,1500.0,Zagara,1200.0,,,,,Kerrigan,0.62458366
Team Nova,1600,Zagara,1180,Prophet,1560,Spirit,1920,Ascendant,1440,Scientist,1660,Nomad,1660.0,Dehaka,1040.0,Ascendant,1200.0,Ascendant,1180.0,Survivor,0.10681837
Ascendant,1200,Zagara,1140,Stukov,1460,Nomad,2480,Artanis,1220,Prophet,1620,Dark Templar,1460.0,Thakras,1260.0,Ascendant,1200.0,Scientist,2100.0,Survivor,0.08859281
Kerrigan,1360,Zagara,1040,Prophet,1460,Stukov,980,Ascendant,1200,Stukov,1360,Team Nova,1340.0,Stukov,1500.0,Stukov,1180.0,Spirit,1160.0,Kerrigan,0.44129896
Selendis,1720,Mira,1860,Stukov,1700,Prophet,1720,Kerrigan,1320,Ascendant,1780,Dark Templar,600.0,Selendis,1160.0,Spirit,1420.0,Zagara,1200.0,Survivor,0.18030107
Kerrigan,2300,Engineer,1700,Ascendant,1320,Ascendant,1660,Stukov,1080,Ascendant,1440,Swann,1460.0,Ascendant,1120.0,,,,,Kerrigan,0.9829959
Artanis,1740,Zagara,2140,Engineer,1740,Nomad,1460,Spirit,2080,Scientist,2440,Prophet,600.0,Dehaka,1720.0,Dark Templar,1560.0,Stukov,1460.0,Survivor,0.6077195
Nomad,1920,Ascendant,1880,Prophet,1880,Scion,2580,Zagara,1540,Ascendant,1960,Dehaka,2360.0,Engineer,2040.0,Ascendant,1200.0,Ares,1200.0,Kerrigan,0.37426692
Mira,1460,Niadra,1960,Nomad,1860,Stukov,1740,Prophet,1120,Scientist,1740,Dehaka,1360.0,Stukov,1260.0,Spirit,1520.0,Selendis,1420.0,Kerrigan,0.61973387
Mira,1380,Nomad,2040,Prophet,1520,Team Nova,1700,Scientist,1340,Zagara,1340,Spirit,1780.0,Selendis,1540.0,Kerrigan,1380.0,,,Kerrigan,0.24368952
Selendis,1380,Engineer,960,Dark Templar,1500,Kerrigan,1380,Zagara,2220,Stukov,2020,Swann,1420.0,Mira,1520.0,Prophet,1180.0,Spirit,2560.0,Survivor,0.5489981
Scientist,1440,Selendis,1560,Zagara,2540,Ascendant,1160,Ares,1340,Selendis,1700,Ascendant,1240.0,Kerrigan,1380.0,Prophet,860.0,Artanis,1280.0,Kerrigan,0.94128674
Scientist,1440,Team Nova,1640,Dehaka,2260,Selendis,1540,Scientist,1440,Swann,1680,Stukov,2000.0,Selendis,1420.0,Dark Templar,1180.0,,,Kerrigan,0.94261605
Zagara,1280,Prophet,1640,Spirit,1700,Scientist,1120,Ascendant,1200,Stukov,1160,Dehaka,2260.0,Ascendant,1220.0,Stukov,1500.0,Stukov,1400.0,Kerrigan,0.8590621
Stukov,2020,Selendis,1440,Selendis,1380,Zagara,1040,Scientist,1200,Dehaka,2000,Prophet,1920.0,Ares,1200.0,Spirit,1160.0,Selendis,1260.0,Kerrigan,0.5287103
Team Nova,2340,Spirit,1980,Artanis,1780,Kerrigan,1320,Ascendant,1220,Ascendant,1180,Stukov,1040.0,Artanis,1200.0,Helios,1260.0,,,Survivor,0.23409027
Dehaka,2560,Ares,1200,Prophet,1780,Mira,1240,Helios,1680,Zagara,1200,Spirit,1260.0,Ascendant,1600.0,Stukov,1340.0,,,Kerrigan,0.9002598
Zagara,1220,Dark Templar,1780,Selendis,1860,Scientist,1520,Kerrigan,1260,Prophet,1400,Spirit,1160.0,Scientist,1760.0,Artanis,2100.0,Spirit,1620.0,Survivor,0.09435527
Stukov,1820,Selendis,1620,Selendis,1520,Helios,1240,Ares,1180,Team Nova,1340,Spirit,1240.0,Niadra,1240.0,Dehaka,1420.0,,,Survivor,0.4291992
Niadra,1380,Ascendant,1560,Ascendant,1600,Stukov,1160,Engineer,1820,Dehaka,1660,Ascendant,1160.0,Ascendant,1120.0,Ares,1200.0,Mira,1400.0,Survivor,0.64958036
Artanis,1200,Prophet,1540,Ascendant,1640,Selendis,1280,Dark Templar,1080,Zagara,1140,Team Nova,1340.0,Thakras,1080.0,Scientist,1420.0,Stukov,1260.0,Survivor,0.25092152
Nomad,1700,Prophet,1820,Engineer,1540,Zagara,1400,Selendis,1480,Thakras,1780,Scientist,2240.0,Stukov,1920.0,Dark Templar,1880.0,Ascendant,1740.0,Survivor,0.20410517
Selendis,1320,Nomad,1260,Zagara,1020,Prophet,2000,Artanis,1540,Kerrigan,1160,Artanis,1240.0,Ares,1120.0,Ascendant,1260.0,Stukov,1840.0,Survivor,0.14524058
Spirit,2180,Dehaka,1700,Artanis,2240,Zagara,1500,Stukov,1580,Prophet,1600,Selendis,1180.0,Selendis,1440.0,Ares,1420.0,Artanis,1920.0,Survivor,0.30005792
Helios,1540,Selendis,1520,Selendis,1560,Prophet,1220,Dehaka,1080,Helios,1500,Ascendant,1200.0,Stukov,1380.0,Zagara,1560.0,Scientist,1200.0,Survivor,0.45806548
Scientist,2060,Spirit,1760,Ascendant,1720,Mira,1800,Zagara,1260,Spirit,2240,Dehaka,2300.0,Dark Templar,2180.0,Stukov,1680.0,Prophet,1180.0,Survivor,0.3412328
Selendis,1400,Kerrigan,1900,Scientist,1200,Ares,1980,Nomad,1920,Niadra,1120,Team Nova,1900.0,Nomad,1860.0,Engineer,1040.0,Stukov,1260.0,Kerrigan,0.36843744
Scientist,2140,Zagara,1520,Stukov,1660,Scientist,1960,Ascendant,1720,Scientist,1220,Nomad,1520.0,Dehaka,2020.0,Team Nova,1640.0,Prophet,1240.0,Survivor,0.5135821
Scientist,1620,Selendis,1200,Ascendant,1760,Stukov,1240,Nomad,1580,Team Nova,1400,Thakras,2280.0,Zagara,1240.0,Spirit,2200.0,Scientist,1360.0,Survivor,0.6436898
Spirit,1600,Spirit,2240,Spirit,1960,Niadra,1280,Scientist,1800,Stukov,1200,Helios,1420.0,Stukov,1200.0,Dehaka,1060.0,Prophet,1580.0,Survivor,0.07899434
Artanis,2020,Dehaka,2100,Dark Templar,1840,Zagara,1160,Scientist,1500,Selendis,1300,Ascendant,1060.0,Spirit,1020.0,Ascendant,1160.0,Ascendant,1200.0,Kerrigan,0.69946563
Team Nova,1920,Dark Templar,1700,Ascendant,1140,Niadra,1240,Spirit,1900,Ascendant,1340,Scientist,1560.0,Thakras,1980.0,Artanis,1200.0,,,Kerrigan,0.5915175
Kerrigan,1360,Selendis,1900,Prophet,2440,Mira,1260,Dark Templar,1400,Selendis,1320,Mira,1480.0,Stukov,1660.0,Scientist,1200.0,Zagara,1160.0,Survivor,0.122091666
Ascendant,1180,Scientist,2080,Zagara,1120,Scientist,1660,Thakras,2500,Nomad,2220,Team Nova,1500.0,Artanis,1320.0,Swann,1440.0,Stukov,1160.0,Kerrigan,0.6637884
Nomad,2240,Helios,1580,Prophet,1840,Zagara,2060,Ascendant,1600,Ascendant,1180,Artanis,1360.0,Spirit,1340.0,Ares,1200.0,,,Kerrigan,0.8466552
Team Nova,1580,Niadra,1440,Stukov,660,Dark Templar,1640,Swann,1460,Ascendant,1160,Ascendant,1460.0,Nomad,1460.0,Spirit,1600.0,Dehaka,1580.0,Kerrigan,0.57374436
Ascendant,1260,Zagara,1440,Kerrigan,2560,Spirit,1700,Artanis,1200,Ascendant,1200,Spirit,2480.0,Scientist,2000.0,Ascendant,1400.0,,,Kerrigan,0.8329732
Dehaka,2400,Ascendant,1200,Selendis,1040,Spirit,1820,Scientist,1200,Ascendant,1200,Helios,1540.0,Ascendant,1360.0,Ascendant,1080.0,,,Kerrigan,0.9904599
Dark Templar,2300,Mira,1560,Kerrigan,1200,Stukov,1240,Niadra,1900,Stukov,1200,Scientist,1200.0,Swann,1360.0,Stukov,1520.0,Scientist,1200.0,Kerrigan,0.54263794
